fen,engine_name,score
6k1/5pp1/1Np4p/p3p3/P3P1q1/2P3KP/1P3r2/5B2 w - - 0 35,stockfish_elo_2100,0.25
6k1/5pp1/1Np4p/p3p3/P3P1q1/2P3KP/1P3r2/5B2 w - - 0 35,stockfish_elo_2300,0.5
6k1/5pp1/1Np4p/p3p3/P3P1q1/2P3KP/1P3r2/5B2 w - - 0 35,stockfish_elo_2500,0.25
6k1/5pp1/1Np4p/p3p3/P3P1q1/2P3KP/1P3r2/5B2 w - - 0 35,stockfish_elo_2700,0.25
6k1/5pp1/1Np4p/p3p3/P3P1q1/2P3KP/1P3r2/5B2 w - - 0 35,player,1.0
8/8/5N1r/4K3/8/5k2/8/8 b - - 22 62,dragon,0.5
8/8/5N1r/4K3/8/5k2/8/8 b - - 22 62,stockfish_full_test,0.0
8/8/5N1r/4K3/8/5k2/8/8 b - - 22 62,stockfish_elo_1350,0.0
8/8/5N1r/4K3/8/5k2/8/8 b - - 22 62,stockfish_elo_1450,0.0
8/8/5N1r/4K3/8/5k2/8/8 b - - 22 62,stockfish_elo_1550,0.0
8/8/5N1r/4K3/8/5k2/8/8 b - - 22 62,stockfish_elo_1650,0.0
8/8/5N1r/4K3/8/5k2/8/8 b - - 22 62,stockfish_elo_1750,0.0
8/8/5N1r/4K3/8/5k2/8/8 b - - 22 62,stockfish_elo_1850,0.0
8/8/5N1r/4K3/8/5k2/8/8 b - - 22 62,stockfish_elo_1950,0.5
8/8/5N1r/4K3/8/5k2/8/8 b - - 22 62,stockfish_elo_2100,0.0
8/8/5N1r/4K3/8/5k2/8/8 b - - 22 62,stockfish_elo_2300,0.0
8/8/5N1r/4K3/8/5k2/8/8 b - - 22 62,stockfish_elo_2500,0.0
8/8/5N1r/4K3/8/5k2/8/8 b - - 22 62,stockfish_elo_2700,0.5
8/8/5N1r/4K3/8/5k2/8/8 b - - 22 62,player,0.5
r3rk2/1b3npp/1b2p3/P1NpPp2/3B1P2/8/2R1B1PP/R5K1 w - - 0 31,dragon,1.0
r3rk2/1b3npp/1b2p3/P1NpPp2/3B1P2/8/2R1B1PP/R5K1 w - - 0 31,stockfish_full_test,1.0
r3rk2/1b3npp/1b2p3/P1NpPp2/3B1P2/8/2R1B1PP/R5K1 w - - 0 31,stockfish_elo_1350,1.0
r3rk2/1b3npp/1b2p3/P1NpPp2/3B1P2/8/2R1B1PP/R5K1 w - - 0 31,stockfish_elo_1450,0.5
r3rk2/1b3npp/1b2p3/P1NpPp2/3B1P2/8/2R1B1PP/R5K1 w - - 0 31,stockfish_elo_1550,0.5
r3rk2/1b3npp/1b2p3/P1NpPp2/3B1P2/8/2R1B1PP/R5K1 w - - 0 31,stockfish_elo_1650,1.0
r3rk2/1b3npp/1b2p3/P1NpPp2/3B1P2/8/2R1B1PP/R5K1 w - - 0 31,stockfish_elo_1750,1.0
r3rk2/1b3npp/1b2p3/P1NpPp2/3B1P2/8/2R1B1PP/R5K1 w - - 0 31,stockfish_elo_1850,1.0
r3rk2/1b3npp/1b2p3/P1NpPp2/3B1P2/8/2R1B1PP/R5K1 w - - 0 31,stockfish_elo_1950,1.0
r3rk2/1b3npp/1b2p3/P1NpPp2/3B1P2/8/2R1B1PP/R5K1 w - - 0 31,stockfish_elo_2100,0.5
r3rk2/1b3npp/1b2p3/P1NpPp2/3B1P2/8/2R1B1PP/R5K1 w - - 0 31,stockfish_elo_2300,1.0
r3rk2/1b3npp/1b2p3/P1NpPp2/3B1P2/8/2R1B1PP/R5K1 w - - 0 31,stockfish_elo_2500,0.5
r3rk2/1b3npp/1b2p3/P1NpPp2/3B1P2/8/2R1B1PP/R5K1 w - - 0 31,stockfish_elo_2700,0.5
r3rk2/1b3npp/1b2p3/P1NpPp2/3B1P2/8/2R1B1PP/R5K1 w - - 0 31,player,1.0
r1bq1rk1/1pp1bppp/p3pn2/3p4/1nPPP3/1PN2N2/P4PPP/RBBQ1RK1 w - - 0 10,dragon,1.0
r1bq1rk1/1pp1bppp/p3pn2/3p4/1nPPP3/1PN2N2/P4PPP/RBBQ1RK1 w - - 0 10,stockfish_full_test,1.0
r1bq1rk1/1pp1bppp/p3pn2/3p4/1nPPP3/1PN2N2/P4PPP/RBBQ1RK1 w - - 0 10,stockfish_elo_1350,1.0
r1bq1rk1/1pp1bppp/p3pn2/3p4/1nPPP3/1PN2N2/P4PPP/RBBQ1RK1 w - - 0 10,stockfish_elo_1450,1.0
r1bq1rk1/1pp1bppp/p3pn2/3p4/1nPPP3/1PN2N2/P4PPP/RBBQ1RK1 w - - 0 10,stockfish_elo_1550,1.0
r1bq1rk1/1pp1bppp/p3pn2/3p4/1nPPP3/1PN2N2/P4PPP/RBBQ1RK1 w - - 0 10,stockfish_elo_1650,0.5
r1bq1rk1/1pp1bppp/p3pn2/3p4/1nPPP3/1PN2N2/P4PPP/RBBQ1RK1 w - - 0 10,stockfish_elo_1750,1.0
r1bq1rk1/1pp1bppp/p3pn2/3p4/1nPPP3/1PN2N2/P4PPP/RBBQ1RK1 w - - 0 10,stockfish_elo_1850,0.5
r1bq1rk1/1pp1bppp/p3pn2/3p4/1nPPP3/1PN2N2/P4PPP/RBBQ1RK1 w - - 0 10,stockfish_elo_1950,0.5
r1bq1rk1/1pp1bppp/p3pn2/3p4/1nPPP3/1PN2N2/P4PPP/RBBQ1RK1 w - - 0 10,stockfish_elo_2100,0.0
r1bq1rk1/1pp1bppp/p3pn2/3p4/1nPPP3/1PN2N2/P4PPP/RBBQ1RK1 w - - 0 10,stockfish_elo_2300,0.5
r1bq1rk1/1pp1bppp/p3pn2/3p4/1nPPP3/1PN2N2/P4PPP/RBBQ1RK1 w - - 0 10,stockfish_elo_2500,1.0
r1bq1rk1/1pp1bppp/p3pn2/3p4/1nPPP3/1PN2N2/P4PPP/RBBQ1RK1 w - - 0 10,stockfish_elo_2700,0.5
r1bq1rk1/1pp1bppp/p3pn2/3p4/1nPPP3/1PN2N2/P4PPP/RBBQ1RK1 w - - 0 10,player,1.0
r1bqnrk1/1pp1bppp/p1n1p3/4P3/2pP4/PPN2N2/2Q2PPP/RBB2RK1 w - - 0 13,dragon,1.0
r1bqnrk1/1pp1bppp/p1n1p3/4P3/2pP4/PPN2N2/2Q2PPP/RBB2RK1 w - - 0 13,stockfish_full_test,1.0
r1bqnrk1/1pp1bppp/p1n1p3/4P3/2pP4/PPN2N2/2Q2PPP/RBB2RK1 w - - 0 13,stockfish_elo_1350,1.0
r1bqnrk1/1pp1bppp/p1n1p3/4P3/2pP4/PPN2N2/2Q2PPP/RBB2RK1 w - - 0 13,stockfish_elo_1450,1.0
